UserID,FullName,Age,Email,RegistrationDate,LastLoginDate,PurchaseTotal
101,John Doe,30,johndoe@example.com,01/10/2021,03/01/2023,150
111,Alice Johnson,,alicejohnson@example.com,07/15/2022,,
112,Bob Marley,27,bobmarley@example.com,05/20/2021,02/28/2023,
113,Cathy Smith,null,cathysmith@example.com,10/12/2019,02/27/2023,210.5
,Null User,25,,12/01/2020,02/25/2023,100
114,Derek Nowak,29,dereknowak@example.com,03/17/2020,02/24/2023,180.75
115,Eva Green,null,evagreen@example.com,08/22/2018,02/23/2023,
116,Frank Poe,34,frankpoe@example.com,11/13/2019,02/22/2023,190.4
101,John Doe,30,johndoe@example.com,01/10/2023,03/01/2023,200
117,George Kay,28,georgekay@example.com,06/07/2021,02/21/2023,170
118,Hanna Lux,32,hannalux@example.com,02/18/2019,02/20/2023,220.15
119,Ian Volt,26,ianvolt@example.com,07/23/2020,02/19/2023,130
120,Julia Nex,24,julianex@example.com,01/12/2022,02/18/2023,145.6
121,Kevin Yolt,abc,kevinyolt@example.com,03/14/2021,02/17/2023,
122,Lana Molt,31,lanamolt@example.com,09/09/2020,02/16/2023,155.3
123,Mike Dolt,33,mikedolt@example.com,05/05/2018,02/15/2023,205
124,Nina Colt,27,ninacolt@example.com,07/29/2019,02/14/2023,160.75
125,Oscar Holt,29,oscarholt@example.com,11/11/2022,02/13/2023,175.45
126,Patty Jolt,31,pattyjolt@example.com,12/13/2018,02/12/2023,185.9
127,Quincy Molt,34,quincymolt@example.com,04/17/2020,02/11/2023,195.25
128,Rita Bolt,36,ritabolt@example.com,08/21/2021,02/10/2023,210.5
112,Bob Marley,27,bobmarley@example.com,05/20/2021,02/28/2023,
129,Steve Jolt,38,stevejolt@example.com,01/01/2019,02/09/2023,225.75
130,Invalid Date,29,invaliddatetest@example.com,02/30/2022,02/08/2023,180
131,Special Characters Name,34,special$$name@example.com,04/17/2021,02/07/2023,200.5
132,Old Format,30,oldformat@example.com,07/05/2019,02/06/2023,150.5
133,Future Date,25,futuredate@example.com,01/01/2024,01/02/2025,160
134,Negative Age,-1,negativeage@example.com,08/15/2021,02/04/2023,130
135,Very Old Date,90,veryolddate@example.com,01/01/1920,02/03/2023,100
136,Extra Large Total,27,extralargetotal@example.com,10/10/2020,02/02/2023,1000000
137,Incorrect Email,28,notanemail,11/11/2021,02/01/2023,190
138,Duplicate ID,27,duplicateid@example.com,03/15/2019,01/31/2023,200
101,John Doe,30,johndoe@example.com,01/10/2024,03/01/2023,250
